StudyTimeWeekly,Volunteering,Tutoring,ParentalEducation,Absences,GPA,GradeClass,GraduationStatus
0.99277314327911,0,1,2,0.2413793103448275,0.7322988979169203,2.0,1
0.7712704924672598,0,0,1,0.0,0.7607287083590942,1.0,1
0.2107175921008398,0,0,3,0.896551724137931,0.0281505636165453,4.0,0
0.5019649663815134,0,0,3,0.4827586206896551,0.5135545349257371,3.0,0
0.2338404152502803,0,1,2,0.5862068965517241,0.3220152954488469,4.0,0
0.409978808138641,0,0,1,0.0,0.7710459036215984,1.0,1
0.780927801228458,0,0,1,0.3448275862068966,0.6870593537228957,2.0,1
0.7720584095943872,0,1,4,0.7586206896551724,0.3400356780791152,4.0,0
0.2283096795161368,1,0,0,0.0344827586206896,0.7242047973783923,2.0,1
0.923230477216908,0,0,1,0.0,0.8933685525824414,0.0,1
0.5931964207598887,0,0,1,0.3793103448275862,0.5367929062546286,3.0,0
0.3803081060990047,1,0,1,0.5172413793103449,0.3898986297600693,4.0,0
0.5024596414143082,0,0,1,0.7241379310344828,0.380019453718702,4.0,0
0.6057138630483863,0,0,2,0.7241379310344828,0.4378952395835196,4.0,0
0.5604812086169392,0,1,1,0.3103448275862069,0.599197029281199,3.0,0
0.4869112446328433,0,1,2,0.5862068965517241,0.3353801791336668,4.0,0
0.5054603098718297,0,0,1,0.4827586206896551,0.558043819428994,3.0,0
0.1765617988939459,0,1,0,0.5517241379310345,0.3461010439235084,4.0,0
0.8136142099520923,1,0,3,1.0,0.1173883308449676,4.0,0
0.542330156996654,0,0,1,0.3103448275862069,0.598946023632675,3.0,0
0.1311776433887752,1,0,3,0.0689655172413793,0.6946028249801632,2.0,1
0.7669848708190495,0,0,2,0.8620689655172413,0.0867235091762537,4.0,0
0.9334628855454076,0,1,0,1.0,0.0781365576313387,4.0,0
0.9483428905430348,0,0,4,0.6896551724137931,0.4425329691949933,4.0,0
0.3693890110384606,0,0,1,0.5172413793103449,0.3762889055090714,4.0,0
0.1356197553542624,0,0,3,0.1724137931034483,0.7444629795789357,2.0,1
0.5189426118126567,0,0,1,0.0689655172413793,0.7371794179779803,2.0,1
0.1126857800225525,0,0,3,0.2758620689655172,0.536301180116798,3.0,0
0.9350080997831224,0,0,0,0.3448275862068966,0.7137009822453295,2.0,1
0.1837377547310674,0,0,2,0.6896551724137931,0.3798604314537847,4.0,0
0.2530035132263106,0,1,2,0.4137931034482758,0.4317800773806022,4.0,0
0.4070510463182111,1,0,3,0.5862068965517241,0.4618838677846976,4.0,0
0.383552008108147,0,0,3,0.8620689655172413,0.0961542432141219,4.0,0
0.7955234275264866,0,0,3,0.7241379310344828,0.23735152444932,4.0,0
0.4567884448427755,0,1,3,0.9310344827586208,0.2852398546050849,4.0,0
0.170911661393022,0,0,1,0.7931034482758621,0.065368065012688,4.0,0
0.2674641514128067,0,1,1,0.896551724137931,0.0545712142052579,4.0,0
0.5096456963258532,0,1,1,0.7241379310344828,0.2669408877604949,4.0,0
0.1475705202174757,0,1,1,0.1034482758620689,0.7547264646069919,1.0,1
0.6123058537002232,0,1,1,0.7241379310344828,0.3817169579481808,4.0,0
0.566344715373714,0,1,2,0.7931034482758621,0.2645718499224651,4.0,0
0.715470941076198,0,0,1,0.2413793103448275,0.6562820244330577,2.0,1
0.9387295693702156,0,1,2,0.4137931034482758,0.7021887055071634,2.0,1
0.913250261606507,0,0,1,0.3103448275862069,0.722222917318111,2.0,1
0.9471101940826064,0,1,1,0.0344827586206896,1.0,0.0,1
0.2449439969492389,0,0,2,0.2413793103448275,0.6288250680640622,2.0,1
0.1316636463165925,0,0,2,0.1724137931034483,0.6409413575037737,2.0,1
