StudyTimeWeekly,Volunteering,Tutoring,ParentalEducation,Absences,GPA,GradeClass
0.99277314327911,0,1,2,0.24137931034482757,0.7322988979169203,2.0
0.7712704924672598,0,0,1,0.0,0.7607287083590942,1.0
0.21071759210083982,0,0,3,0.896551724137931,0.028150563616545374,4.0
0.5019649663815134,0,0,3,0.48275862068965514,0.5135545349257371,3.0
0.23384041525028032,0,1,2,0.5862068965517241,0.3220152954488469,4.0
0.409978808138641,0,0,1,0.0,0.7710459036215984,1.0
0.780927801228458,0,0,1,0.3448275862068966,0.6870593537228957,2.0
0.7720584095943872,0,1,4,0.7586206896551724,0.3400356780791152,4.0
0.2283096795161368,1,0,0,0.034482758620689655,0.7242047973783923,2.0
0.9232304772169081,0,0,1,0.0,0.8933685525824414,0.0
0.5931964207598887,0,0,1,0.3793103448275862,0.5367929062546286,3.0
0.38030810609900473,1,0,1,0.5172413793103449,0.3898986297600693,4.0
0.5024596414143082,0,0,1,0.7241379310344828,0.380019453718702,4.0
0.6057138630483863,0,0,2,0.7241379310344828,0.4378952395835196,4.0
0.5604812086169392,0,1,1,0.3103448275862069,0.599197029281199,3.0
0.4869112446328433,0,1,2,0.5862068965517241,0.3353801791336668,4.0
0.5054603098718297,0,0,1,0.48275862068965514,0.558043819428994,3.0
0.1765617988939459,0,1,0,0.5517241379310345,0.3461010439235084,4.0
0.8136142099520923,1,0,3,1.0,0.1173883308449676,4.0
0.542330156996654,0,0,1,0.3103448275862069,0.598946023632675,3.0
0.13117764338877522,1,0,3,0.06896551724137931,0.6946028249801632,2.0
0.7669848708190495,0,0,2,0.8620689655172413,0.0867235091762537,4.0
0.9334628855454075,0,1,0,1.0,0.07813655763133873,4.0
0.9483428905430347,0,0,4,0.6896551724137931,0.4425329691949933,4.0
0.36938901103846067,0,0,1,0.5172413793103449,0.37628890550907146,4.0
0.13561975535426246,0,0,3,0.1724137931034483,0.7444629795789357,2.0
0.5189426118126567,0,0,1,0.06896551724137931,0.7371794179779803,2.0
0.11268578002255256,0,0,3,0.27586206896551724,0.536301180116798,3.0
0.9350080997831225,0,0,0,0.3448275862068966,0.7137009822453295,2.0
0.18373775473106746,0,0,2,0.6896551724137931,0.37986043145378473,4.0
0.25300351322631065,0,1,2,0.41379310344827586,0.43178007738060226,4.0
0.40705104631821115,1,0,3,0.5862068965517241,0.4618838677846976,4.0
0.383552008108147,0,0,3,0.8620689655172413,0.09615424321412193,4.0
0.7955234275264866,0,0,3,0.7241379310344828,0.23735152444932,4.0
0.4567884448427755,0,1,3,0.9310344827586207,0.2852398546050849,4.0
0.170911661393022,0,0,1,0.7931034482758621,0.06536806501268802,4.0
0.26746415141280677,0,1,1,0.896551724137931,0.05457121420525792,4.0
0.5096456963258532,0,1,1,0.7241379310344828,0.2669408877604949,4.0
0.14757052021747574,0,1,1,0.10344827586206896,0.7547264646069919,1.0
0.6123058537002232,0,1,1,0.7241379310344828,0.3817169579481808,4.0
0.566344715373714,0,1,2,0.7931034482758621,0.2645718499224651,4.0
0.715470941076198,0,0,1,0.24137931034482757,0.6562820244330577,2.0
0.9387295693702155,0,1,2,0.41379310344827586,0.7021887055071634,2.0
